,Symbol,Description
2684,SYY,Sysco Corp
2685,SZC,The Cushing Renaissance Fund
2686,T,AT&T Inc
2687,T-A,AT&T Inc 5% Prf Perpetual USD 25 1/1000Th Int Se
2688,T-C,AT&T Inc 4.75% Prf Perpetual USD 25 1/1000Th Int
2689,TAC,Transalta Corp
2690,TAK,Takeda Pharmaceutical Co. Ltd
2691,TAL,Tal Education Group
2692,TALO,Talos Energy Inc
2693,TAP,Molson Coors Brewing Company
2694,TAP.A,Molson Coors Brewing Cl A
2695,TARO,Taro Pharm Inds
2696,TBB,AT&T Inc 5.350% Global Notes Due 2066
2697,TBC,AT&T Inc 5.625% Global Notes Due 2067
2698,TBI,Trueblue Inc
2699,TCI,Transcontinental Realty Investors
2700,TCO,Taubman Centers
2701,TCO-J,Taubman Ctrs Inc [Tco/Pj]
2702,TCO-K,Taubman Ctrs Inc [Tco/Pk]
2703,TCP,TCP Pipelines
2704,TCRW,THL Credit Inc 6.125% Notes Due 2023
2705,TCRZ,THL Credit Inc
2706,TCS,The Container Store Group Inc
2707,TD,Toronto Dominion Bank
2708,TDA,Telephone and Data Systems Inc
2709,TDC,Teradata Corp
2710,TDE,Telephone and Data Systems
2711,TDF,Templeton Dragon Fund
2712,TDG,Transdigm Group Inc
2713,TDI,Telephone and Data Systems
2714,TDJ,Telephone and Data Systems Inc
2715,TDOC,Teladoc Health Inc
2716,TDS,Telephone and Data Systems
2717,TDW,Tidewater Inc
2718,TDW.A,Tidewater Inc [Tdw/Wa]
2719,TDW.B,Tidewater Inc [Tdw/Wb]
2720,TDY,Teledyne Technologies Inc
2721,TEAF,Tortoise Essential Assets Income Term Fund
2722,TECK,Teck Resources Ltd
2723,TEF,Telefonica S.A.
2724,TEI,Templeton Emerging Markets
2725,TEL,Te Connectivity Ltd
2726,TEN,Tenneco Automotive
2727,TEO,Telecom Argentina Stet France Telecom S.A.
2728,TEVA,Teva Pharmaceutical Industries Ltd
2729,TEX,Terex Corp
2730,TFC,Truist Financial Corp.
2731,TFC-F,Truist Financial Corp [Tfc/Pf]
2732,TFC-G,Truist Financial Corp. [Tfc/Pg]
2733,TFC-H,Truist Financial Corp. [Tfc/Ph]
2734,TFC-I,Truist Financial Corporation Depositary Shares
2735,TFII,Tfi International Inc.
2736,TFX,Teleflex Inc
2737,TG,Tredegar Corp
2738,TGE,Tallgrass Energy Gp LP
2739,TGH,Textainer Group Holdings
2740,TGI,Triumph Group
2741,TGNA,Tegna Inc
2742,TGP,Teekay Lng Partners LP
2743,TGP-A,Teekay Lng Partners LP [Tgp/Pa]
2744,TGP-B,Teekay Lng Partners LP [Tgp/Pb]
2745,TGS,Transportadora DE Gas Sa Ord B
2746,TGT,Target Corp
2747,THC,Tenet Healthcare Corp
2748,THG,The Hanover Insurance Group
2749,THGA,The Hanover Insurance Group
2750,THO,Thor Industries
2751,THQ,Tekla Healthcare Opportunities
2752,THR,Thermon Group Holdings Inc
2753,THS,Treehouse Foods
2754,THW,Tekla World Healthcare Fund
2755,TIF,Tiffany & Company
2756,TISI,Team Inc
2757,TJX,TJX Companies
2758,TK,Teekay Shipping Corp
2759,TKC,Turkcell Iletisim Hizmetleri As
2760,TKR,Timken Company
2761,TLI,Lmp Corporate Loan Fund Inc
2762,TLK,P.T. Telekomunikasi Indonesia Tbk
2763,TLRA,Telaria Inc
2764,TLRD,Tailored Brands Inc
2765,TLYS,Tilly's Inc
2766,TM,Toyota Motor Corp Ltd Ord
2767,TME,Tencent Music Entertainment Group ADR
2768,TMHC,Taylor Morrison Home Corp
2769,TMO,Thermo Fisher Scientific Inc
2770,TMST,Timken Steel Corp
2771,TNC,Tennant Company
2772,TNET,Trinet Group Inc
2773,TNK,Teekay Tankers Ltd
2774,TNP,Tsakos Energy Navigation Ltd
2775,TNP-C,Tsakos Energy Navigation [Tnp/Pc]
2776,TNP-D,Tsakos Energy Navigation [Tnp/Pd]
2777,TNP-E,Tsakos Energy Navigation [Tnp/Pe]
2778,TNP-F,Tsakos Energy Navigation [Tnp/Pf]
2779,TOL,Toll Brothers Inc
2780,TOO-A,Teekay Offshore Partners LP [Too/Pa]
2781,TOO-B,Teekay Offshore Partners LP [Too/Pb]
2782,TOO-E,Teekay Offshore Partners LP [Too/Pe]
2783,TOT,Totalfinaelf S.A.
2784,TPB,Turning Point Brands
2785,TPC,Tutor Perini Corp
2786,TPH,Tri Pointe Homes Inc
2787,TPL,Texas Pacific Land Trust
2788,TPR,Tapestry Inc
2789,TPRE,Third Point Reinsurance Ltd Company
2790,TPVG,Triplepoint Venture Growth Bdc
2791,TPVY,Triplepoint Venture Growth Bdc Corp 5.75% Notes
2792,TPX,Tempur-Pedic International Inc
2793,TPZ,Tortoise Power and Energy
2794,TR,Tootsie Roll Industries
2795,TRC,Tejon Ranch Company
2796,TREC,Trecora Resources
2797,TREX,Trex Company
2798,TRGP,Targa Resources
2799,TRI,Thomson Reuters Corp
2800,TRN,Trinity Industries
2801,TRN.U,Trine Acquisition Corp [Trne.U]
2802,TRN.W,Trine Acquisition Corp WT [Trne/W]
2803,TRNE,Trine Acquisition Corp Cl A
2804,TRNO,Terreno Realty Corp
2805,TROX,Tronox Inc
2806,TRP,Transcananda Pipelines
2807,TRQ,Turquoise Hill Resources Ltd
2808,TRT-A,Triton Intl Ltd [Trtn/Pa]
2809,TRT-B,Triton Intl Ltd [Trtn/Pb]
2810,TRT-C,Triton International Ltd 7.375% Prf Perpetual US
2811,TRT-D,Triton Intl Ltd [Trtn/Pd]
2812,TRTN,Triton International Ltd
2813,TRTX,Tpg Re Finance Trust Inc
2814,TRU,Transunion
2815,TRV,The Travelers Companies Inc
2816,TRWH,Twin River Worldwide Holdings Inc
2817,TS,Tenaris S.A.
2818,TSE,Trinseo S.A.
2819,TSI,Tcw Strategic
2820,TSLF,THL Credit Senior Loan Fund
2821,TSLX,Tpg Specialty Lending Inc
2822,TSM,Taiwan Semiconductor Manufacturing
2823,TSN,Tyson Foods
2824,TSQ,Townsquare Media Llc
2825,TSU,Tim Participacoes S.A.
2826,TT,Trane Technologies Plc
2827,TTC,Toro Company
2828,TTI,Tetra Technologies
2829,TTM,Tata Motors Ltd
2830,TTP,Tortoise Pipeline & Energy Fund
2831,TU,Telus Corporation
2832,TUFN,Tufin Software Technologies Ltd
2833,TUP,Tupperware Corp
2834,TV,Grupo Televisa S.A.
2835,TVC,Tennessee Valley Authority
2836,TVE,Tennessee Valley Authority
2837,TWI,Titan International
2838,TWLO,Twilio
2839,TWN,Taiwan Fund
2840,TWO,Two Harbors Investments Corp
2841,TWO-A,Two Hbrs Invt Corp [Two/Pa]
2842,TWO-B,Two Hbrs Invt Corp [Two/Pb]
2843,TWO-C,Two Hbrs Invt Corp [Two/Pc]
2844,TWO-D,Two Hbrs Invt Corp [Two/Pd]
2845,TWO-E,Two Hbrs Invt Corp [Two/Pe]
2846,TWTR,Twitter Inc
2847,TX,Ternium S.A.
2848,TXT,Textron Inc
2849,TY,Tri Continental Corp
2850,TY.P,Tri Contl Corp [Ty/P]
2851,TYG,Tortoise Energy Infrastructure Corp
2852,TYL,Tyler Technologies
2853,UA,Under Armour Inc Cl C
2854,UAA,Under Armour
2855,UAN,Cvr Partners LP
2856,UBA,Urstadt Biddle Properties Inc
2857,UBER,Uber Technologies Inc
2858,UBP,Urstadt Biddle Properties Inc
2859,UBP-H,Urstadt Biddle Pptys Inc [Ubp/Ph]
2860,UBP-K,Urstadt Biddle Properties Inc 5.875% Prf Perpetu
2861,UBS,UBS Group Ag
2862,UDR,United Dominion Realty Trust
2863,UE,Urban Edge Properties
2864,UFI,Unifi Inc
2865,UFS,Domtar Corp
2866,UGI,Ugi Corp
2867,UGP,Ultrapar Participacoes S.A.
2868,UHS,Universal Health Services
2869,UHT,Universal Health Realty Income Trust
2870,UI,Ubiquiti Networks
2871,UIS,Unisys Corp
2872,UL,Unilever Plc
2873,UMC,United Microelectronics Corp
2874,UMH,Umh Properties
2875,UMH-B,Umh Pptys Inc [Umh/Pb]
2876,UMH-C,Umh Pptys Inc [Umh/Pc]
2877,UMH-D,Umh Pptys Inc [Umh/Pd]
2878,UN,Unilever NV
2879,UNF,Unifirst Corp
2880,UNFI,United Nat Foods
2881,UNH,Unitedhealth Group Inc
2882,UNM,Unumprovident Corp
2883,UNMA,Unum Group 6.250% Junior Subordinated Notes Due
2884,UNP,Union Pacific Corp
2885,UNT,Unit Corp
2886,UNVR,Univar Inc
2887,UPS,United Parcel Service
2888,URI,United Rentals
2889,USA,Liberty All-Star Equity Fund
2890,USAC,USA Compression Partners LP
2891,USB,U.S. Bancorp
2892,USB-A,US Bancorp [Usb/Pa]
2893,USB-H,US Bancorp [Usb/Ph]
2894,USB-M,US Bancorp [Usb/Pm]
2895,USB-O,US Bancorp [Usb/Po]
2896,USB-P,US Bancorp Del [Usb/Pp]
2897,USDP,USD Partners LP
2898,USFD,US Foods Holding
2899,USM,United States Cellular Corp
2900,USNA,Usana Health Sciences Inc
2901,USPH,U.S. Physical Therapy
2902,USX,U.S. Xpress Enterprises Inc Cl A
2903,UTF,Cohen & Steers Infrastructure Fund
2904,UTI,Universal Technical Institute Inc
2905,UTL,Unitil Corp
2906,UTX,United Technologies Corp
2907,UVE,Universal Insurance Holdings Inc
2908,UVV,Universal Corp
2909,UZA,United States Cellular Corp
2910,UZB,United States Cellular Corp
2911,UZC,United States Cellular Corp
2912,V,Visa Inc
2913,VAC,Marriot Vacations Worldwide Cor
2914,VAL,Valaris Plc
2915,VALE,Vale S.A.
2916,VAM,The Vivaldi Opportunities Fund
2917,VAPO,Vapotherm Inc
2918,VAR,Varian Medical Systems
2919,VBF,Invesco Van Kampen Bond Fund
2920,VCIF,Vertical Capital Income Fund Common Shares of BE
2921,VCRA,Vocera Communications Inc
2922,VCV,Invesco California Value Muni Income Trust
2923,VEC,Vectrus Inc
2924,VEDL,Vedanta Ltd
2925,VEEV,Veeva Systems Inc
2926,VEL,Velocity Financial Inc
2927,VER,Vereit Inc
2928,VER-F,Vereit Inc [Ver/Pf]
2929,VER.U,Vertiv Hldg CO [Vert.U]
2930,VET,Vermilion Energy Inc
2931,VFC,V.F. Corp
2932,VGI,Virtus Global Multi-Sector Inc
2933,VGM,Invesco Trust For Investment Grade Municipals
2934,VGR,Vector Group Ltd
2935,VHI,Valhi Inc
2936,VICI,Vici Properties Inc
2937,VIPS,Vipshop Holdings Ltd
2938,VIST,Vista Oil & Gas S.A.B. DE C.V.
2939,VIV,Telecomunicacoes DE Sao Paulo ADR
2940,VJET,Voxeljet Ag
2941,VKQ,Invesco Muni Trust
2942,VLO,Valero Energy Corp
2943,VLRS,Controladora Vuela Compaia DE
2944,VLT,Invesco High
2945,VMC,Vulcan Materials Company
2946,VMI,Valmont Industries
2947,VMO,Invesco Muni Opportunity Trust
2948,VMW,Vmware Inc
2949,VNCE,Vince Holding Corp
2950,VNE,Veoneer Inc
2951,VNO,Vornado Realty Trust
2952,VNO-K,Vornado Rlty TR [Vno/Pk]
2953,VNO-L,Vornado Rlty TR [Vno/Pl]
2954,VNO-M,Vornado Rlty TR [Vno/Pm]
2955,VNTR,Venator Materials Plc
2956,VOC,Voc Energy Trust
2957,VOY-B,VOYA Finl Inc [Voya/Pb]
2958,VOYA,VOYA Financial Inc
2959,VPG,Vishay Precision Group
2960,VPV,Invesco Pennsylvania Muni
2961,VRS,Verso Corp
2962,VRT,Vertiv Holdings Llc.
2963,VRT.W,Vertiv Holdings Llc WT
2964,VRTV,Veritiv Corp
2965,VSH,Vishay Intertechnology
2966,VSLR,Vivint Solar Inc
2967,VST,Vistra Energy Corp
2968,VST.A,Vistra Energy Corp [Vst/Wa]
2969,VSTO,Vista Outdoor Inc
2970,VTA,Invesco Dynamic Credit Fund
2971,VTN,Invesco Trust New York Muni
2972,VTR,Ventas Inc
2973,VVI,Viad Corp
2974,VVN.W,Mosaic Acquisition Corp WT [Mosc/W]
2975,VVNT,Vivint Smart Home Inc.
2976,VVR,Invesco Senior Income Trust
2977,VVV,Valvoline Inc
2978,VZ,Verizon Communications Inc
2979,W,Wayfair Inc
2980,WAAS,Aquaventure Holdings Ltd
2981,WAB,Wabtec Corp
2982,WAL,Western Alliance Bancorp
2983,WALA,Western Alliance Bancorp
2984,WAT,Waters Corp
2985,WBAI,500Wan.com Ltd
2986,WBC,Wabco Holdings Inc
2987,WBK,Westpac Banking Corp
2988,WBS,Webster Financial Corp
2989,WBS-F,Webster Financial Corp [Wbs/Pf]
2990,WBT,Welbilt Inc
2991,WCC,Wesco International
2992,WCN,Waste Connections Inc
2993,WD,Walker & Dunlop
2994,WDR,Waddell & Reed Financial
2995,WEA,Western Asset Bond Fund
2996,WEC,Wisconsin Energy Corp
2997,WEI,Weidai Ltd ADR
2998,WELL,Welltower Inc
2999,WES,Western Midstream Partners LP
3000,WEX,Wex Inc
3001,WF,Woori Finance Holdings Co. Ltd
3002,WFC,Wells Fargo & Company
3003,WFC-L,Wells Fargo & Company [Wfc/Pl]
3004,WFC-N,Wells Fargo & Company [Wfc/Pn]
3005,WFC-O,Wells Fargo & Company [Wfc/Po]
3006,WFC-P,Wells Fargo & Company [Wfc/Pp]
3007,WFC-Q,Wells Fargo & Company [Wfc/Pq]
3008,WFC-R,Wells Fargo & Company [Wfc/Pr]
3009,WFC-T,Wells Fargo & Company [Wfc/Pt]
3010,WFC-V,Wells Fargo & Company [Wfc/Pv]
3011,WFC-W,Wells Fargo & Company [Wfc/Pw]
3012,WFC-X,Wells Fargo & Company [Wfc/Px]
3013,WFC-Y,Wells Fargo & Company [Wfc/Py]
3014,WFC-Z,Wells Fargo & Co. 4.75% Prf Perpetual USD 25 Ser
3015,WGO,Winnebago Industries
3016,WH,Wyndham Hotels & Resorts Inc
3017,WHD,Cactus Inc Cl A
3018,WHG,Westwood Holdings Group Inc
3019,WHR,Whirlpool Corp
3020,WIA,U.S. Treasury Inflation Prot Secs Fd
3021,WIT,Wipro Ltd
3022,WIW,U.S Treasury Inflation Prot Secs Fd 2
3023,WK,Workiva Llc
3024,WLK,Westlake Chemical Corp
3025,WLKP,Westlake Chemical Partners LP
3026,WLL,Whiting Petroleum Corp
3027,WM,Waste Management
3028,WMB,Williams Companies
3029,WMC,Western Asset Mortgage Capital
3030,WMK,Weis Markets
3031,WMS,Advanced Drainage Systems Inc
3032,WMT,Wal-Mart Stores
3033,WNC,Wabash National Corp
3034,WNS,Wns Ltd
3035,WOR,Worthington Industries
3036,WORK,Slack Technologies Inc
3037,WOW,Wideopenwest Inc
3038,WPC,W.P. Carey & Co. Llc
3039,WPG,Washington Prime Group Inc
3040,WPG-H,Washington Prime Group [Wpg/Ph]
3041,WPG-I,Washington Prime Group [Wpg/Pi]
3042,WPM,Wheaton Precious Metals
3043,WPP,Wpp Plc ADR
3044,WPX,Wpx Energy Inc
3045,WRB,W.R. Berkley Corp
3046,WRB-B,Berkley[W.R.]Corp [Wrb/Pb]
3047,WRB-C,Berkley[W.R.]Corp [Wrb/Pc]
3048,WRB-D,Berkley[W.R.]Corp [Wrb/Pd]
3049,WRB-E,Berkley[W.R.]Corp [Wrb/Pe]
3050,WRB-F,W.R. Berkley Corporation 5.10% Subordinated Debe
3051,WRE,Washington Real Estate Investment
3052,WRI,Weingarten Realty Investors
3053,WRK,Westrock Company
3054,WSM,Williams-Sonoma
3055,WSO,Watsco Inc
3056,WSO.B,Watsco Inc Cl B
3057,WSR,Whitestone REIT
3058,WST,West Pharmaceutical Services
3059,WTI,W&T Offshore
3060,WTM,White Mountains Insurance Group
3061,WTRG,Essential Utilities Inc.
3062,WTRU,Aqua America Inc 6.00% Tangible Equity Units
3063,WTS,Watts Water Technologies
3064,WTTR,Select Energy Services Inc
3065,WU,Western Union Company
3066,WUBA,58.com Inc
3067,WWE,World Wrestling Entertainment
3068,WWW,Wolverine World Wide
3069,WY,Weyerhaeuser Company
3070,WYND,Wyndham Destinations Inc
3071,X,United States Steel Corp
3072,XAN,Exantas Capital Corp
3073,XAN-C,Exantas Cap Corp [Xan/Pc]
3074,XEC,Cimarex Energy Company
3075,XFLT,Xai Octagon Floating Alt Income Term Trust Compa
3076,XHR,Xenia Hotels & Resorts Inc
3077,XIN,Xinyuan Real Estate Co. Ltd
3078,XOM,Exxon Mobil Corp
3079,XPO,Xpo Logistics Inc
3080,XRF,China Rapid Finance Ltd ADR
3081,XRX,Xerox Corp
3082,XYF,X Financial
3083,XYL,Xylem Inc
3084,Y,Alleghany Corp
3085,YELP,Yelp Inc
3086,YETI,Yeti Holdings Inc
3087,YEXT,Yext Inc
3088,YPF,Ypf Sociedad Anonima
3089,YRD,Yirendai Ltd
3090,YUM,Yum! Brands
3091,YUMC,Yum China Holdings Inc
3092,ZAYO,Zayo Group Holdings Inc
3093,ZBH,Zimmer Biomet Holdings
3094,ZEN,Zendesk Inc
3095,ZNH,China Southern Airlines Company
3096,ZTO,Zto Express [Cayman] Inc
3097,ZTR,Virtus Global Divd & Income Fund
3098,ZTS,Zoetis Inc Cl A
3099,ZUO,Zuora Inc
3100,ZYME,Zymeworks Inc
